cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00039503,Matt Gaetz,Gaetz,R,FL01,M,2016,0,,202-225-4136,,https://gaetz.house.gov,,507 Cannon House Office Building,G000578,,H6FL01119,RepMattGaetz,,CongressmanMattGaetz,1982-05-07
N00037442,Neal Dunn,Dunn,R,FL02,M,2016,0,,202-225-5235,,https://dunn.house.gov,,423 Cannon House Office Building,D000628,,H6FL02208,drnealdunnfl2,,drnealdunnfl2,1953-02-16
N00045978,Kat Cammack,Cammack,R,FL03,F,2020,0,,202225-5744,202225-3973,https://cammack.house.gov/,,"1626 Longworth House Office Building Washington, DC  20515",C001039,,,@RepKatCammack,,RepKatCammack,02/16/88
N00051369,Aaron Bean,Bean,R,FL04,M,2022,0,,,,,,,,,,,,,
N00039777,John Rutherford,Rutherford,R,FL05,M,2016,0,,202-225-2501,,https://rutherford.house.gov,,230 Cannon House Office Building,R000609,,H6FL04105,RepRutherfordFL,,RepRutherfordFL,1952-09-02
N00042403,Michael Waltz,Waltz,R,FL06,M,2018,0,,202-225-2706,,https://waltz.house.gov/,,216 Cannon House Office Building,W000823,,H8FL06148,,,,1974-01-31
N00048179,Cory Mills,Mills,R,FL07,M,2022,0,,,,,,,M001216,,H2FL07156,,,,
N00029662,Bill Posey,Posey,R,FL08,M,2008,0,,202-225-3671,202-225-3516,http://posey.house.gov,https://posey.house.gov/forms/writeyourrep/,2150 Rayburn House Office Building,P000599,24280,H8FL15107,CongBillPosey,https://youtube.com/CongressmanPosey,bill.posey15,1947-12-18
N00037422,Darren Soto,Soto,D,FL09,M,2016,0,,202-225-9889,,https://soto.house.gov,,1429 Longworth House Office Building,S001200,,H6FL09179,RepDarrenSoto,,CongressmanDarrenSoto,1978-02-25
N00049075,Maxwell Frost,Frost,D,FL10,M,2022,0,,,,,,,F000476,,H2FL10259,,,,
N00026335,Daniel Webster,Webster,R,FL11,M,2010,0,,202-225-1002,202-225-0999,http://webster.house.gov,https://webster.house.gov/contact/contactform.htm,1210 Longworth House Office Building,W000806,24302,H0FL08208,RepWebster,https://youtube.com/repdanwebster,RepWebster,1949-04-27
N00027462,Gus Bilirakis,Bilirakis,R,FL12,M,2006,0,,202-225-5755,202-225-4085,https://bilirakis.house.gov,https://bilirakis.house.gov/email-congressman-bilirakis/,2112 Rayburn House Office Building,B001257,17318,H6FL09070,RepGusBilirakis,https://youtube.com/RepGusBilirakis,GusBilirakis,1963-02-08
N00045228,Anna Paulina Luna,Luna,R,FL13,F,2022,0,,,,,,,L000596,,H0FL13158,,,,
N00027514,Kathy Castor,Castor,D,FL14,F,2006,0,,202-225-3376,202-225-5652,http://castor.house.gov,https://castor.house.gov/contact/contactform.htm,2052 Rayburn House Office Building,C001066,53825,H6FL11126,USRepKCastor,https://youtube.com/RepKathyCastor,USRepKathyCastor,1966-08-20
N00051178,Laurel Lee,Lee,R,FL15,F,2022,0,,,,,,,,,,,,,
N00027626,Vernon Buchanan,Buchanan,R,FL16,M,2006,0,,202-225-5015,202-226-0828,https://buchanan.house.gov,https://buchanan.house.gov/email-me,2104 Rayburn House Office Building,B001260,66247,H6FL13148,VernBuchanan,https://youtube.com/vernbuchanan,CongressmanBuchanan,1951-05-08
N00042808,Greg Steube,Steube,R,FL17,M,2018,0,,202-225-5792,,https://steube.house.gov/,,521 Cannon House Office Building,S001214,,H8FL17053,,,,1978-05-19
N00046760,Scott Franklin,Franklin,R,FL18,M,2020,0,,202225-1252,202226-0585,https://franklin.house.gov/,,"1517 Longworth House Office Building, Washington, DC 20515",F000472,,,@RepFranklin,,RepFranklin,08/23/64
N00034016,Byron Donalds,Donalds,R,FL19,M,2020,0,,202225-2536,,https://donalds.house.gov/,,"523 Cannon HOB Washington, DC 20515",D000032,,,@RepDonaldsPress,,RepDonaldsPress,10/28/78
N00043504,Sheila Cherfilus-McCormick,Cherfilus-McCormick,D,FL20,F,2022,0,,,,,,,,,,,,,
N00037269,Brian Mast,Mast,R,FL21,M,2016,0,,202-225-3026,,https://mast.house.gov,,2182 Rayburn House Office Building,M001199,,H6FL18097,repbrianmast,,repbrianmast,1980-07-10
N00002893,Lois Frankel,Frankel,D,FL22,F,2012,0,,202-225-9890,561-998-9048,http://frankel.house.gov,https://frankel.house.gov/contact/email-me,1037 Longworth House Office Building,F000462,8102,H2FL14053,RepLoisFrankel,https://youtube.com/reploisfrankel,RepLoisFrankel,1948-05-16
N00050596,Jared Moskowitz,Moskowitz,D,FL23,M,2022,0,,,,,,,,,,,,,
N00030650,Frederica Wilson,Wilson,D,FL24,F,2010,0,,202-225-4506,202-226-0777,https://wilson.house.gov,https://wilsonforms.house.gov/contact-form,2445 Rayburn House Office Building,W000808,17319,H0FL17068,RepWilson,https://youtube.com/repfredericawilson,RepWilson,1942-11-05
N00026106,Debbie Wasserman Schultz,Schultz,D,FL25,F,2004,0,,202-225-7931,202-226-2052,https://wassermanschultz.house.gov,http://wassermanschultz.house.gov/contact/email-me.shtml,1114 Longworth House Office Building,W000797,24301,H4FL20023,RepDWStweets,https://youtube.com/RepWassermanSchultz,RepDWS,1966-09-27
